play_session_id,user_id,date_key,start_ts,end_ts,duration_seconds,channel_code,status_code,total_score
0,309,20241211,2024-12-11 12:26:22.670000-06:00,2024-12-11 17:01:22.670000-06:00,16500.0,BROWSER,COMPLETED,1081
1,179,20240213,2024-02-13 15:51:16.919000-06:00,2024-02-13 22:17:16.919000-06:00,23160.0,MOBILE,ABORTED,4271
2,314,20240821,2024-08-21 10:56:25.744000-06:00,2024-08-21 15:17:25.744000-06:00,15660.0,BROWSER,TIMEOUT,2634
3,492,20240327,2024-03-27 01:46:36.925000-06:00,2024-03-27 10:05:36.925000-06:00,29940.0,MOBILE,ABORTED,3082
4,369,20240825,2024-08-25 22:29:23.179000-06:00,2024-08-26 00:54:23.179000-06:00,8700.0,MOBILE,TIMEOUT,3995
5,59,20240427,2024-04-27 16:37:13.057000-06:00,2024-04-27 23:33:13.057000-06:00,24960.0,MOBILE,TIMEOUT,3025
6,408,20241215,2024-12-15 19:41:46.635000-06:00,2024-12-16 02:26:46.635000-06:00,24300.0,BROWSER,TIMEOUT,1295
7,358,20240104,2024-01-04 00:02:03.341000-06:00,2024-01-04 08:28:03.341000-06:00,30360.0,MOBILE,ABORTED,154
8,391,20240610,2024-06-10 01:46:47.635000-06:00,2024-06-10 06:05:47.635000-06:00,15540.0,MOBILE,ABORTED,255
9,360,20241123,2024-11-23 15:50:37.399000-06:00,2024-11-23 22:32:37.399000-06:00,24120.0,MOBILE,TIMEOUT,2719
10,326,20241002,2024-10-02 17:07:20.528000-06:00,2024-10-02 19:58:20.528000-06:00,10260.0,BROWSER,COMPLETED,730
11,431,20240115,2024-01-15 07:54:04.663000-06:00,2024-01-15 14:50:04.663000-06:00,24960.0,MOBILE,TIMEOUT,4976
12,55,20241208,2024-12-08 02:01:05.524000-06:00,2024-12-08 05:05:05.524000-06:00,11040.0,BROWSER,TIMEOUT,3892
13,62,20240416,2024-04-16 14:53:00.976000-06:00,2024-04-16 15:09:00.976000-06:00,960.0,MOBILE,TIMEOUT,3661
14,331,20240126,2024-01-26 19:20:26.408000-06:00,2024-01-26 23:23:26.408000-06:00,14580.0,MOBILE,COMPLETED,168
